,Gender,Occupation,BMI Category,Age,Sleep Duration,Quality of Sleep,Physical Activity Level,Stress Level,Heart Rate,Daily Steps,blood Pressure max,blood Pressure min,epochs
0,0.471410870552063,0.4844188213348389,0.447523832321167,0.4170095920562744,0.4206618368625641,0.33037304878234863,0.4347166121006012,0.45538827776908875,0.5062967538833618,0.4450356066226959,0.4534730613231659,0.4809623658657074,1
1,0.46980416774749756,0.4841614246368408,0.446875661611557,0.41508349776268005,0.418593168258667,0.328019917011261,0.4319714605808258,0.45292869210243225,0.5038865208625793,0.44278085231781006,0.4516151249408722,0.47874176502227783,2
2,0.4681968688964844,0.4839050769805908,0.4462263584136963,0.4131574332714081,0.41652005910873413,0.3256719708442688,0.42928674817085266,0.4504699110984802,0.501477062702179,0.44054681062698364,0.4497968852519989,0.4765625596046448,3
3,0.46658679842948914,0.48364982604980467,0.4455767273902893,0.411199688911438,0.4144676923751831,0.3233214020729065,0.4266743063926697,0.44800055027008057,0.4990772306919098,0.4383341073989868,0.44798606634140015,0.4744085371494293,4
4,0.46496984362602234,0.4833956241607666,0.4449334740638733,0.4092632830142975,0.41239893436431885,0.32097283005714417,0.42411863803863525,0.4455249309539795,0.49668291211128235,0.4361414313316345,0.4462338089942932,0.47230246663093567,5
5,0.46335214376449585,0.48314628601074217,0.44428709149360657,0.40735286474227905,0.410337895154953,0.31863078474998474,0.4216294288635254,0.44304853677749634,0.4942874014377594,0.4339659810066223,0.4444945156574249,0.4702305495738983,6
6,0.46174266934394836,0.48289976119995115,0.4436438977718353,0.40540599822998047,0.4082789123058319,0.3162854015827179,0.41920164227485657,0.44056612253189087,0.4918988049030304,0.43181243538856506,0.44279202818870544,0.46819567680358887,7
7,0.46016353368759155,0.48265609741210935,0.4430030882358551,0.4034786820411682,0.40622207522392273,0.31395071744918823,0.4168260991573334,0.4380771815776825,0.48951083421707153,0.4296649992465973,0.4411090910434723,0.46619731187820435,8
8,0.45855870842933655,0.48241367340087893,0.44235959649086,0.40155231952667236,0.40415892004966736,0.31161364912986755,0.4145173728466034,0.4355941414833069,0.4871233403682709,0.4275425970554352,0.4394315183162689,0.46422237157821655,9
9,0.4569786489009857,0.48217482566833497,0.4417110085487366,0.3996100425720215,0.40208330750465393,0.30927684903144836,0.41227054595947266,0.43310976028442383,0.4847402572631836,0.4254341721534729,0.43780624866485596,0.46228542923927307,10
10,0.4553918242454529,0.48193750381469724,0.4410666525363922,0.3976685404777527,0.4000171422958374,0.30694156885147095,0.4100750684738159,0.43062564730644226,0.48236334323883057,0.4233490228652954,0.4361886978149414,0.46037980914115906,11
11,0.4538039565086365,0.4817053318023682,0.4404217600822449,0.39573729038238525,0.3979472219944,0.3046081066131592,0.4079661965370178,0.4281368553638458,0.4799909293651581,0.42129290103912354,0.43463724851608276,0.45853087306022644,12
12,0.45223674178123474,0.481475305557251,0.4397795796394348,0.39382103085517883,0.3958856165409088,0.302279531955719,0.4058957099914551,0.42564117908477783,0.4776233732700348,0.4192376434803009,0.433080792427063,0.4567013084888458,13
13,0.4506249725818634,0.4812434673309326,0.4391303062438965,0.3919086456298828,0.393847793340683,0.29995545744895935,0.40390193462371826,0.42314159870147705,0.475259006023407,0.4172079265117645,0.4315805435180664,0.4549170732498169,14
14,0.44903549551963806,0.4810178279876709,0.43848609924316406,0.39000946283340454,0.39181068539619446,0.2976332902908325,0.40197402238845825,0.42064088582992554,0.47290030121803284,0.41520750522613525,0.43009501695632935,0.45316895842552185,15
15,0.4474416971206665,0.4807914733886719,0.4378415644168854,0.38811054825782776,0.3897477984428406,0.29530268907546997,0.400108277797699,0.41814476251602173,0.4705476760864258,0.41322481632232666,0.42864668369293213,0.45146116614341736,16
16,0.44588136672973633,0.4805655002593994,0.43719542026519775,0.38615530729293823,0.3877021372318268,0.2929841876029968,0.3983011841773987,0.4156462848186493,0.46820032596588135,0.41125863790512085,0.4271734952926636,0.44975125789642334,17
17,0.4442795217037201,0.4803446292877197,0.43654724955558777,0.3842731714248657,0.3857128918170929,0.29068243503570557,0.39655816555023193,0.4131111800670624,0.4658520817756653,0.40928661823272705,0.4258137047290802,0.44813284277915955,18
18,0.4427262246608734,0.48012919425964357,0.4358997344970703,0.3823372721672058,0.3836704194545746,0.28837117552757263,0.3948735296726227,0.4106123149394989,0.4635014235973358,0.4073699712753296,0.42434757947921753,0.44647520780563354,19
19,0.4411594867706299,0.4799109935760498,0.43524616956710815,0.3804086446762085,0.3816758692264557,0.2860758602619171,0.39326897263526917,0.4080835282802582,0.46115389466285706,0.4054584801197052,0.4229441285133362,0.44486692547798157,20
20,0.43959689140319824,0.47970075607299806,0.4345974326133728,0.3785340189933777,0.37969136238098145,0.2837904393672943,0.3917168378829956,0.40554630756378174,0.4588150978088379,0.40357035398483276,0.42159339785575867,0.44331908226013184,21
21,0.4380309581756592,0.4794936656951904,0.4339483380317688,0.3766585886478424,0.37769970297813416,0.28150174021720886,0.3902251124382019,0.4030137360095978,0.45648807287216187,0.4016965925693512,0.42029452323913574,0.4418167471885681,22
22,0.4364611506462097,0.4792823314666748,0.4332997500896454,0.3747519850730896,0.375691682100296,0.2792074680328369,0.3887462317943573,0.4004916250705719,0.4541730284690857,0.39980965852737427,0.418991357088089,0.44031432271003723,23
23,0.4349129796028137,0.4790783405303955,0.4326518774032593,0.3728283643722534,0.37368109822273254,0.2769128084182739,0.38735610246658325,0.39797642827033997,0.45186668634414673,0.39796707034111023,0.41772764921188354,0.4388617277145386,24
